code,municipio.x,depto,part,part_18,Gustavo Petro_22,Rodolfo Hernández_22,Federico Gutiérrez_22,Sergio Fajardo_22,John Milton Rodríguez_22,Enrique Gómez Martínez_22,Luis Pérez_22,Gustavo Petro_18,Iván Duque_18,Sergio Fajardo_18,Germán Vargas Lleras_18,Humberto De La Calle_18,Jorge Antonio Trujillo_18,Viviane Morales_18,dif_part,codigo_municipio,municipio.y,codigo_departamento,departamento,pdet,statecap,gini,IPM,pib_percapita_mill,g_terreno,capital,l_31_82,c_31_82,pob_total_2018,porc_rural_2018,p_petro_2022,p_hernandez_2022,p_gutierrez_2022,...1,Gustavo Petro_18_pc,Iván Duque_18_pc,Sergio Fajardo_18_pc,Germán Vargas Lleras_18_pc,Humberto De La Calle_18_pc,Jorge Antonio Trujillo_18_pc,Viviane Morales_18_pc,Gustavo Petro_22_pc,Rodolfo Hernández_22_pc,Federico Gutiérrez_22_pc,Sergio Fajardo_22_pc,John Milton Rodríguez_22_pc,Enrique Gómez Martínez_22_pc,Luis Pérez_22_pc,gana_petro2,max_pc_18,gana_petro18,max_pc_22,gana_petro22,ganaPetro2,part_crecio_above_average,diff_petro_rodolfo,diff_petro_rodolfo_abs
52250,El Charco,Nariño,33.45,32.4,4739,214,431,98,120,43,7,2871,619,109,1175,148,31,18,1.0500000000000043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,730,56.8,12.3,2.2,23.3,2.9,0.6,0.4,82.6,3.7,7.5,1.7,2.1,0.7,0.1,1,56.8,1,82.6,1,1,0,78.89999999999999,78.89999999999999
66572,Pueblo Rico,Risaralda,40.1,42.6,2478,896,712,99,26,12,5,1731,1646,362,87,62,9,27,-2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,840,43.3,41.2,9.1,2.2,1.6,0.2,0.7,57.6,20.8,16.6,2.3,0.6,0.3,0.1,1,43.3,1,57.6,1,1,0,36.8,36.8
70001,Sincelejo,Sucre,54.5,54.2,66064,12898,28974,2011,3778,160,25,52966,36742,5917,7512,971,798,191,0.29999999999999716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,931,49.7,34.5,5.6,7.1,0.9,0.7,0.2,57.2,11.2,25.1,1.7,3.3,0.1,0,1,49.7,1,57.2,1,1,0,46,46
70124,Caimito,Sucre,47.06,52.6,2945,447,1072,82,59,16,1,2776,1231,110,599,53,13,15,-5.539999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,933,57.4,25.4,2.3,12.4,1.1,0.3,0.3,63,9.6,22.9,1.8,1.3,0.3,0,1,57.4,1,63,1,1,0,53.4,53.4
70215,Corozal,Sucre,57.98,58.2,16742,2580,7315,444,710,38,6,12831,9507,1196,2746,251,107,39,-0.22000000000000597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,935,47.6,35.3,4.4,10.2,0.9,0.4,0.1,59.4,9.2,26,1.6,2.5,0.1,0,1,47.6,1,59.4,1,1,0,50.2,50.2
70221,Coveñas,Sucre,47.11,47.5,3196,943,1690,93,229,6,1,2552,2256,192,488,38,24,10,-0.39000000000000057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,936,45.4,40.1,3.4,8.7,0.7,0.4,0.2,51.1,15.1,27,1.5,3.7,0.1,0,1,45.4,1,51.1,1,1,0,36,36
70400,La Unión,Sucre,50.82,51.4,3360,581,1141,70,72,8,4,2891,1193,97,544,69,35,4,-0.5799999999999983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,941,59.2,24.4,2,11.1,1.4,0.7,0.1,63.2,10.9,21.4,1.3,1.4,0.1,0.1,1,59.2,1,63.2,1,1,0,52.300000000000004,52.300000000000004
70418,Los Palmitos,Sucre,58.19,58.3,7837,686,2179,111,288,12,3,6609,2748,202,749,113,62,12,-0.10999999999999943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,942,62.5,26,1.9,7.1,1.1,0.6,0.1,69.9,6.1,19.4,1,2.6,0.1,0,1,62.5,1,69.9,1,1,0,63.800000000000004,63.800000000000004
70473,Morroa,Sucre,55.77,57.2,5005,858,2064,114,136,15,0,3783,2439,246,934,85,26,11,-1.4299999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,944,49.8,32.1,3.2,12.3,1.1,0.3,0.1,60.3,10.3,24.9,1.4,1.6,0.2,0,1,49.8,1,60.3,1,1,0,50,50
70508,Ovejas,Sucre,51.44,54.1,7193,899,2997,211,128,22,0,5634,4185,200,801,136,38,27,-2.6600000000000037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,945,50.7,37.7,1.8,7.2,1.2,0.3,0.2,62.2,7.8,25.9,1.8,1.1,0.2,0,1,50.7,1,62.2,1,1,0,54.400000000000006,54.400000000000006
